"","city_level","date","city","color","size","gas"
"1","885199","200701","Beijing","black","1","no2"
"2","1781842","200702","Beijing","black","1","no2"
"3","3551796","200703","Beijing","green","3","no2"
"4","4197739","200704","Beijing","green","4","no2"
"5","2984475","200705","Beijing","green","3","no2"
"6","3500278","200706","Beijing","green","3","no2"
"7","3348420","200707","Beijing","green","3","no2"
"8","3325260","200708","Beijing","green","3","no2"
"9","3339934","200709","Beijing","green","3","no2"
"10","944682","200801","Beijing","black","1","no2"
"11","1827365","200802","Beijing","black","1","no2"
"12","2071743","200803","Beijing","black","1","no2"
"13","2436831","200804","Beijing","black","3","no2"
"14","2979280","200805","Beijing","green","3","no2"
"15","3452435","200806","Beijing","green","3","no2"
"16","3432541","200807","Beijing","green","3","no2"
"17","3079909","200808","Beijing","green","3","no2"
"18","3279310","200809","Beijing","green","3","no2"
"19","999862","200901","Beijing","black","1","no2"
"20","1446029","200902","Beijing","black","1","no2"
"21","2515063","200903","Beijing","black","3","no2"
"22","1465807","200904","Beijing","black","1","no2"
"23","2720713","200905","Beijing","black","3","no2"
"24","3987608","200906","Beijing","green","4","no2"
"25","3220649","200907","Beijing","green","3","no2"
"26","3817559","200908","Beijing","green","4","no2"
"27","3819226","200909","Beijing","green","4","no2"
"28","885185","201001","Beijing","black","1","no2"
"29","1471792","201002","Beijing","black","1","no2"
"30","2363577","201003","Beijing","black","3","no2"
"31","2251186","201004","Beijing","black","3","no2"
"32","2512419","201005","Beijing","black","3","no2"
"33","3262058","201006","Beijing","green","3","no2"
"34","3390451","201007","Beijing","green","3","no2"
"35","3678257","201008","Beijing","green","4","no2"
"36","3491179","201009","Beijing","green","3","no2"
"37","935327","201101","Beijing","black","1","no2"
"38","2032615","201102","Beijing","black","1","no2"
"39","8144276","201103","Beijing","red","7","no2"
"40","5779563","201104","Beijing","blue","6","no2"
"41","4768282","201105","Beijing","green","4","no2"
"42","4495699","201106","Beijing","green","4","no2"
"43","4210028","201107","Beijing","green","4","no2"
"44","4008560","201108","Beijing","green","4","no2"
"45","4827523","201109","Beijing","green","4","no2"
"46","761605","201201","Beijing","black","1","no2"
"47","2433032","201202","Beijing","black","3","no2"
"48","6694182","201203","Beijing","red","7","no2"
"49","5340607","201204","Beijing","blue","6","no2"
"50","4055471","201205","Beijing","green","4","no2"
"51","3786429","201206","Beijing","green","4","no2"
"52","3216924","201207","Beijing","green","3","no2"
"53","3611606","201208","Beijing","green","3","no2"
"54","4941865","201209","Beijing","green","4","no2"
"55","802202","201301","Beijing","black","1","no2"
"56","1544879","201302","Beijing","black","1","no2"
"57","5234604","201303","Beijing","blue","6","no2"
"58","5265202","201304","Beijing","blue","6","no2"
"59","4299025","201305","Beijing","green","4","no2"
"60","3759051","201306","Beijing","green","4","no2"
"61","3355097","201307","Beijing","green","3","no2"
"62","3758256","201308","Beijing","green","4","no2"
"63","3619767","201309","Beijing","green","3","no2"
"64","947481","201401","Beijing","black","1","no2"
"65","1680011","201402","Beijing","black","1","no2"
"66","5722947","201403","Beijing","blue","6","no2"
"67","4164344","201404","Beijing","green","4","no2"
"68","3839337","201405","Beijing","green","4","no2"
"69","3591009","201406","Beijing","green","3","no2"
"70","3372082","201407","Beijing","green","3","no2"
"71","3610537","201408","Beijing","green","3","no2"
"72","2978955","201409","Beijing","green","3","no2"
"73","689763","201501","Beijing","black","1","no2"
"74","2027221","201502","Beijing","black","1","no2"
"75","4088782","201503","Beijing","green","4","no2"
"76","3825037","201504","Beijing","green","4","no2"
"77","3143435","201505","Beijing","green","3","no2"
"78","3321018","201506","Beijing","green","3","no2"
"79","3234401","201507","Beijing","green","3","no2"
"80","3277774","201508","Beijing","green","3","no2"
"81","3130106","201509","Beijing","green","3","no2"
"82","737769","201601","Beijing","black","1","no2"
"83","2238143","201602","Beijing","black","3","no2"
"84","5059749","201603","Beijing","green","4","no2"
"85","3546981","201604","Beijing","green","3","no2"
"86","3572299","201605","Beijing","green","3","no2"
"87","3556673","201606","Beijing","green","3","no2"
"88","3227554","201607","Beijing","green","3","no2"
"89","3359796","201608","Beijing","green","3","no2"
"90","3778977","201609","Beijing","green","4","no2"
"91","627324","201701","Beijing","black","1","no2"
"92","2056886","201702","Beijing","black","1","no2"
"93","4887809","201703","Beijing","green","4","no2"
